Location 1,Location 2,Price,Rooms,Bathrooms,Car Parks,Type,Area (in Square meter),Furnishing
Jalan Kuching,Kuala Lumpur,420000,3,2,0,Built-up,1100,Fully
Jalan Kuching,Kuala Lumpur,430000,3,2,0,Built-up,1100,Fully
Titiwangsa,Kuala Lumpur,590000,3,2,0,Built-up,1100,Fully
Titiwangsa,Kuala Lumpur,630000,3,2,0,Built-up,1100,Partly
Jalan Kuching,Kuala Lumpur,550000,3,2,0,Built-up,1100,Partly
Bangsar,Kuala Lumpur,980000,2,2,0,Built-up,1100,Partly
Jalan Kuching,Kuala Lumpur,400000,3,2,0,Built-up,1100,Partly
Jalan Kuching,Kuala Lumpur,498000,3,2,0,Built-up,1100,Fully
Bukit Bintang,Kuala Lumpur,1300000,3,3,0,Built-up,1100,Fully
Titiwangsa,Kuala Lumpur,580000,3,2,0,Built-up,1100,Partly
Dutamas,Kuala Lumpur,490000,3,2,0,Built-up,1100,Partly
Jalan Kuching,Kuala Lumpur,400000,3,2,0,Built-up,1100,Fully
Jalan Kuching,Kuala Lumpur,360000,3,2,0,Built-up,1100,Fully
Desa ParkCity,Kuala Lumpur,1300000,2,2,0,Built-up,1100,Partly
Wangsa Maju,Kuala Lumpur,670000,4,2,0,Built-up,1100,Partly
Jalan Kuching,Kuala Lumpur,410000,3,2,0,Built-up,1100,Partly
Dutamas,Kuala Lumpur,500000,3,2,0,Built-up,1100,Unfurnished
Bangsar,Kuala Lumpur,1300000,1,1,0,Built-up,1100,Fully
Bangsar,Kuala Lumpur,975000,2,3,0,Built-up,1100,Partly
Desa Petaling,Kuala Lumpur,440000,3,2,0,Built-up,1100,Partly
Jalan Kuching,Kuala Lumpur,545000,3,2,0,Built-up,1100,Partly
Dutamas,Kuala Lumpur,488000,3,2,0,Built-up,1100,Partly
Titiwangsa,Kuala Lumpur,630000,3,2,0,Built-up,1100,Partly
Bukit Jalil,Kuala Lumpur,690000,3,2,0,Built-up,1100,Fully
Jalan Kuching,Kuala Lumpur,500000,3,2,0,Built-up,1100,Fully
Dutamas,Kuala Lumpur,620000,3,2,0,Built-up,1100,Fully
Cheras,Kuala Lumpur,650000,3,2,0,Built-up,1100,Fully
Titiwangsa,Kuala Lumpur,630000,3,2,0,Built-up,1100,Fully
Batu Caves,Kuala Lumpur,420000,3,2,0,Built-up,1100,Partly
Taman Tun Dr Ismail,Kuala Lumpur,1100000,3,2,0,Built-up,1102,Fully
Setapak,Kuala Lumpur,600000,3,2,0,Built-up,1102,Partly
KLCC,Kuala Lumpur,2800000,2,2,0,Built-up,1103,Fully
KLCC,Kuala Lumpur,2982000,2,2,0,Built-up,1103,Fully
Taman Desa,Kuala Lumpur,650000,3,2,0,Built-up,1110,Fully
Sungai Besi,Kuala Lumpur,671000,3,2,0,Built-up,1110,Partly
Sungai Besi,Kuala Lumpur,560000,3,2,0,Built-up,1111,Partly
Jalan Klang Lama,Kuala Lumpur,700000,3,2,0,Built-up,1112,Partly
Jalan Ipoh,Kuala Lumpur,630000,3,2,0,Built-up,1113,Partly
KLCC,Kuala Lumpur,3264000,2,2,0,Built-up,1114,Fully
KLCC,Kuala Lumpur,3244000,2,2,0,Built-up,1114,Fully
Sentul,Kuala Lumpur,620000,3,2,0,Built-up,1115,Partly
Bukit Jalil,Kuala Lumpur,388001,3,2,0,Built-up,1115,Partly
Bukit Jalil,Kuala Lumpur,539000,3,2,0,Built-up,1117,Partly
Bangsar South,Kuala Lumpur,910000,3,2,0,Built-up,1119,Unfurnished
Bangsar South,Kuala Lumpur,840000,3,2,0,Built-up,1119,Partly
Kepong,Kuala Lumpur,450000,3,2,0,Built-up,1119,Fully
Kepong,Kuala Lumpur,430000,3,2,0,Built-up,1119,Fully
Bangsar South,Kuala Lumpur,858376,3,2,0,Built-up,1119,Unfurnished
KL Sentral,Kuala Lumpur,1400000,2,2,0,Built-up,1119,Fully
Kuchai Lama,Kuala Lumpur,500000,3,2,0,Built-up,1120,Partly
Cheras,Kuala Lumpur,590000,3,2,0,Built-up,1121,Partly
Segambut,Kuala Lumpur,550000,3,2,0,Built-up,1124,Fully
Batu Caves,Kuala Lumpur,538500,3,2,0,Built-up,1125,Fully
Sri Petaling,Kuala Lumpur,380000,3,2,0,Built-up,1129,Partly
Sri Petaling,Kuala Lumpur,420000,3,2,0,Built-up,1129,Partly
Segambut,Kuala Lumpur,480000,3,2,0,Built-up,1130,Partly
Sungai Besi,Kuala Lumpur,680000,3,2,0,Built-up,1130,Partly
Sungai Besi,Kuala Lumpur,690000,3,2,0,Built-up,1130,Partly
Sungai Besi,Kuala Lumpur,730000,3,2,0,Built-up,1130,Fully
Setapak,Kuala Lumpur,400000,3,2,0,Built-up,1130,Unfurnished
Batu Caves,Kuala Lumpur,380000,3,2,0,Built-up,1130,Partly
Batu Caves,Kuala Lumpur,380000,3,2,0,Built-up,1130,Partly
Jalan Klang Lama,Kuala Lumpur,520000,3,2,0,Built-up,1130,Partly
City Centre,Kuala Lumpur,1420000,1,1,0,Built-up,1131,Fully
City Centre,Kuala Lumpur,1520000,1,2,0,Built-up,1131,Partly
City Centre,Kuala Lumpur,1550000,1,1,0,Built-up,1131,Partly
KLCC,Kuala Lumpur,900000,2,,0,Built-up,1133,Fully
KLCC,Kuala Lumpur,960000,3,2,0,Built-up,1133,Fully
KLCC,Kuala Lumpur,890000,2,2,0,Built-up,1133,Partly
KLCC,Kuala Lumpur,955000,2,2,0,Built-up,1133,Fully
Setapak,Kuala Lumpur,490000,3,2,0,Built-up,1135,Fully
City Centre,Kuala Lumpur,1499000,1,2,0,Built-up,1135,Fully
Ampang,Kuala Lumpur,750000,2,2,0,Built-up,1135,Partly
Jinjang,Kuala Lumpur,560000,3,2,0,Built-up,1136,Partly
Sungai Besi,Kuala Lumpur,485000,3,2,0,Built-up,1139,Partly
Sungai Besi,Kuala Lumpur,528000,3,2,0,Built-up,1139,Partly
KLCC,Kuala Lumpur,999000,2,2,0,Built-up,1140,Fully
KLCC,Kuala Lumpur,1050000,2,2,0,Built-up,1140,Fully
Desa ParkCity,Kuala Lumpur,850000,3,2,0,Built-up,1141,Fully
Segambut,Kuala Lumpur,520000,3,2,0,Built-up,1142,Fully
Cheras,Kuala Lumpur,500000,4,2,0,Built-up,1142,Partly
Desa Petaling,Kuala Lumpur,550000,3,2,0,Built-up,1144,Partly
Sentul,Kuala Lumpur,800000,2,2,0,Built-up,1144,Partly
Dutamas,Kuala Lumpur,1100000,2,2,0,Built-up,1145,Fully
Dutamas,Kuala Lumpur,1000000,2,2,0,Built-up,1145,Fully
Dutamas,Kuala Lumpur,1050000,2,2,0,Built-up,1145,Fully
Dutamas,Kuala Lumpur,1050000,2,2,0,Built-up,1145,Fully
Dutamas,Kuala Lumpur,1100000,2,2,0,Built-up,1145,Fully
Dutamas,Kuala Lumpur,1250000,2,2,0,Built-up,1145,Fully
Dutamas,Kuala Lumpur,1090600,2,2,0,Built-up,1148,Fully
Dutamas,Kuala Lumpur,1148000,2,2,0,Built-up,1148,Fully
KLCC,Kuala Lumpur,998000,3,2,0,Built-up,1148,Fully
KLCC,Kuala Lumpur,850000,2,2,0,Built-up,1149,Fully
KLCC,Kuala Lumpur,976650,2,2,0,Built-up,1149,Fully
KLCC,Kuala Lumpur,1150000,2,2,0,Built-up,1149,Fully
Wangsa Maju,Kuala Lumpur,480000,3,2,0,Built-up,1150,Partly
KLCC,Kuala Lumpur,1080000,2,2,0,Built-up,1150,Partly
Kepong,Kuala Lumpur,430000,3,2,0,Built-up,1150,Unfurnished
